"PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","Class"
"-2.024649473"," 1.1667666077"," 0.2255841347","-0.314403789","-0.268934466"," 0.751013349","-0.483890497"," 0.3774115905","-0.2962365481"," 0.56606014532","-0.5638182806"," 0.2748212301"," 0.0754125894","-0.13775460736"," 0.1560053932"," 0.271627637"," 0.2512749713","-0.3631601882","-0.0200328900"," 0.0318452174"," 0.28363145872","-0.11637321922","-0.12454928187"," 6.1809140e-03","normal"
"-1.135965726","-1.4859429767"," 1.3197667158"," 0.796066055","-0.391586711","-0.219875575","-0.244863099","-0.3409192381"," 0.4322881814","-0.09947488270","-0.1880795267","-0.0664145984"," 0.0101291855"," 0.43357543062"," 0.1869413647","-0.109680233","-0.6354505384","-0.0044877946","-0.6614439369"," 0.0493120904"," 0.20884109404"," 0.39871512449","-0.10912591721"," 2.2057613e-02","normal"
"-3.119251842"," 0.5134427789"," 1.2619092882"," 1.377540667","-0.055911042"," 0.498936153"," 1.324195816"," 0.3245070883","-0.4516307275","-0.13867077142"," 0.2302725242"," 0.5465813495","-0.0721387205","-0.14053830077"," 0.2939181992"," 0.181673639","-0.2104659702"," 0.0652549168","-0.2630648821","-0.2419935600"," 0.02796910273","-0.22958775092"," 0.07664062419","-2.4743649e-03","normal"
"-3.587092491","-0.6957793897"," 0.4604878830"," 1.103030321","-0.741232828","-0.837323889"," 0.803585884"," 0.0921013523","-0.1424776509","-0.55542811244","-0.0386402174"," 0.2373792115","-0.2084600316"," 0.01455022401","-0.2568775878","-0.298580925","-0.3049290681"," 0.1408960068","-0.0700427827","-0.0231068821","-0.21632345554","-0.09187153195"," 0.06153879722","-9.1302142e-03","normal"
"-1.913973096"," 0.7970534790"," 1.7581745265"," 0.923305080","-0.834902113"," 0.074080705","-1.561115368","-1.7895070317"," 0.4507001096"," 0.89792789422"," 0.4077456462"," 0.3747438983","-0.1214609880"," 0.00855850437"," 0.2508521481"," 0.036020374","-0.3167545233"," 0.4880234218","-0.0182615538"," 0.3926498989"," 0.15434268041","-0.14726895453"," 0.17365275575"," 7.3936165e-03","normal"
"-3.601138271","-0.8877262812"," 0.8505733463"," 0.148340951","-0.345140532","-1.111647843"," 1.562252532"," 0.7164434936","-0.1290960259","-0.46379941657","-0.0079081376"," 0.3567442061","-0.2755530159"," 0.46046296154"," 0.2832936817","-0.500565426","-0.3063871607","-0.1221960076","-0.0535477000"," 0.0788815438","-0.13399110343"," 0.09652817088","-0.03559023456"," 1.2965314e-02","normal"
"-3.219869066","-1.5145379208"," 3.1115985508","-0.895879619","-1.353544318"," 0.328055887"," 0.024632703","-0.1594964942"," 0.4661846056"," 0.51756394231","-0.1959632258","-0.1964993818"," 0.3151459499"," 0.35942954940"," 0.3773101579","-0.293058606"," 0.1380897686"," 0.0665260018","-0.0535793143"," 0.0407494735","-0.18233330134"," 0.00900359501"," 0.06368348706"," 4.9592783e-03","normal"
"-1.460592503","-0.1339048203","-5.1500560476","-2.040806405"," 0.945339876","-0.289296657","-1.114715259"," 0.7129427297"," 1.0049634795","-0.20272186367"," 0.2673632333","-0.9781741041","-1.4311148730"," 0.17637959033","-0.2423045343","-0.541331939","-0.1867057553"," 0.0663556647"," 0.2419717165"," 0.2434030207"," 0.10867654789"," 0.30705765590","-0.08330813482"," 9.8100115e-03","normal"
"-1.697562904"," 1.9797583678","-0.1745402311"," 1.205249790","-0.058379011"," 0.438554955"," 1.314396274","-0.5556320014","-0.5297145788","-0.64068737504"," 0.7958803725"," 0.1333530343"," 0.1676015116"," 0.25864984183","-0.2746883001","-0.258082681","-0.0204415708","-0.0430446167"," 0.0429879703","-0.1117151058","-0.27708476887","-0.00285225717","-0.04037037243"," 3.9607444e-03","normal"
"-1.845804927","-2.9070017428","-2.4707417741"," 0.473024214","-1.159508537","-0.578429492"," 0.019974578"," 0.0683603588","-0.2187648221","-0.32117426059","-0.0950270555"," 0.3134138776"," 0.5733820966"," 0.02512525963","-0.1101397639"," 0.581226517"," 0.3127069642"," 0.2779664656","-0.2008143235"," 0.0886666229"," 0.25042627175","-0.22219871116"," 0.14191696564"," 3.6467885e-03","normal"
"-1.938613230","-0.3552845767"," 2.3987243336","-0.425746233"," 0.291165246"," 0.558768156","-0.314505507","-0.9642878071"," 1.3060195990"," 1.28243913930","-0.9307495125"," 0.0758912585","-0.0761031283","-0.29490684593","-0.2792468683"," 0.106975507","-0.0941469230","-0.2888257019","-0.2264841079","-0.1824895244","-0.13506367417","-0.17738830160","-0.03746789821"," 6.8915194e-03","normal"
"-2.765442392"," 1.7424423017"," 0.8107106537"," 0.361899768","-0.946445662"," 0.828799071","-1.261521553","-0.3956875401"," 0.4900828450"," 0.39236166555","-0.7107005734","-0.0282788683","-0.0605205652","-0.05998124451"," 0.4044235178","-0.429120490","-0.0814915385","-0.0790182370","-0.2736210549","-0.1494365372"," 0.00701101914"," 0.02290573754","-0.09452651127","-4.9366737e-03","normal"
"-1.624236182"," 0.2165768280"," 0.1230342477","-0.934331557"," 0.643400704"," 0.673291626","-0.009540732"," 0.4045469240"," 0.0596027917"," 0.69014702818"," 0.1447303591"," 0.2599439500"," 0.3727778417"," 0.09929487248","-0.1410780795","-0.015437031"," 0.0172191194","-0.1408496620"," 0.0095504787","-0.2513468164","-0.20096629522","-0.04768156443"," 0.01202065439","-2.4797799e-03","normal"
"-3.706803302","-2.6492962989","-2.2064406853","-0.330286381","-1.057911595","-1.488755042","-1.128442962"," 0.3731035108","-0.2134080268","-0.04309271120"," 0.0701491585","-0.1466389287","-0.4404532583","-0.54729663166","-0.3059838248"," 0.509393165","-0.1253839015"," 0.0887354322"," 0.0845231324"," 0.0872184995","-0.15384182795","-0.10093210625","-0.07993994977"," 2.0943726e-02","normal"
"-3.421801837"," 0.0285498856","-1.6710056753"," 0.027257668"," 1.863063699"," 0.032975565"," 0.825433614"," 0.4424775482"," 0.7503305693"," 0.35356379361","-0.2807850368","-0.4399619343","-0.7088153151"," 0.12879275368"," 0.4348501560","-0.530449479"," 0.0422730588","-0.2808615096"," 0.0453451371","-0.0885110241","-0.03994526645","-0.00400934614"," 0.02687379800","-5.0001424e-03","normal"
"-2.620524545","-2.6377091908"," 0.9485755193","-1.435084687"," 0.339811306"," 0.441670324","-0.671909132","-0.9241778186"," 0.9042870772"," 1.55099214503"," 0.3988977543"," 0.1564105639","-0.1298581432","-1.10499701095","-0.8414055783"," 0.388606972","-0.5079191516"," 0.0434510308"," 0.4468718943","-0.0298882418"," 0.02434085508"," 0.02820721846"," 0.02126197274","-3.2217720e-03","normal"
"-5.888711600","-2.6917124274"," 2.7563744255","-0.304730418","-3.265950337","-1.727230623","-0.245141006"," 0.8591151451","-1.1208250468","-0.73057729010"," 0.5067410566","-0.4927172461","-0.1827842746","-0.10192664626","-0.2017804564"," 0.131962761","-0.0469987429","-0.1072037879"," 0.2975231437"," 0.2335605790"," 0.13136634604"," 0.02104080957"," 0.05602996843","-2.0212440e-04","normal"
"-2.437878790","-0.1021112477"," 1.5548822603"," 0.034498299"," 0.205271679","-0.109554824"," 0.724667671"," 0.9447182504","-0.3202584367","-0.67837341628","-0.0582700591"," 0.1458919802"," 0.4516082608"," 0.69430641652","-0.3532695130","-0.120380436"," 0.1071132554"," 0.0148473520"," 0.1627536240","-0.1946982129","-0.06126761355"," 0.30455090885","-0.13040185063"," 6.8126756e-03","normal"
"-1.547646710"," 2.3020925637","-1.1744717885"," 0.273751242"," 0.711904788"," 1.555656455","-0.594066979","-0.1792218109"," 0.2296155591","-0.01240160887"," 0.2188424623"," 0.0572577828"," 0.0751484902","-0.04393785568"," 0.2957864916","-0.088712519"," 0.2091125545","-0.1181216864"," 0.0586550740","-0.0794140489"," 0.15770531556"," 0.23272936783","-0.13441499678"," 1.0468604e-03","normal"
"-1.810415489","-0.1299431614"," 0.1904520742","-0.049208022"," 0.639181240"," 0.742194810"," 1.228655341"," 0.4881544541"," 0.2668487925","-0.05380876266","-0.3263007623"," 0.0310573762","-0.0067091647"," 0.24213334095"," 0.1075018676","-0.097262187","-0.0743685903","-0.2597262066","-0.2327380504"," 0.1096860730"," 0.04530949742","-0.15012875288"," 0.03794730412"," 1.5773417e-03","normal"
"-1.830724441","-3.4807502885","-4.3587214005","-0.569480720"," 0.145831278","-0.631402405","-0.348255367","-0.8687812119"," 0.2347967297"," 0.47106604739","-0.7085811085"," 0.0934050521"," 0.4751615743"," 0.43420650958","-0.4297757025","-0.011564471"," 0.3154337789","-0.2851407166"," 0.0938975073","-0.0818629120","-0.04628544275"," 0.02416299494"," 0.06084741508"," 6.1199707e-04","normal"
"-2.056451125","-2.3288065580","-0.3034316191","-1.615078654"," 0.520446383"," 0.213120092"," 0.420941578","-0.0903788759","-0.1991971700"," 0.56919004499"," 0.1981793647","-0.0935604150","-0.3867728439"," 0.00020081063"," 0.3968603209"," 0.236017101"," 0.0137290426"," 0.1616990774"," 0.2169879824"," 0.1440944292"," 0.15469233945"," 0.19101095060","-0.03791278805"," 2.0061011e-04","normal"
"-4.147428305","-1.4014242234"," 1.2201772338"," 0.065313575","-0.018473847","-0.144199338"," 0.245211447"," 0.2361266819"," 0.3644439366"," 0.01924830780"," 0.6003607320","-0.2193225862","-0.0939740215","-0.51550187163","-0.2197765744"," 0.072804609","-0.3843227282","-0.4720136844","-0.0537254594","-0.0642406632","-0.05651892377","-0.08052137813"," 0.08601557003","-1.3072613e-02","normal"
"-1.286008732","-1.6675490961","-0.2600080737","-0.201153988"," 1.155923865"," 1.206522572"," 1.032496474","-0.2204772077","-0.0018344089"," 0.17728859459"," 0.6938035309"," 0.0912207765"," 0.0778786979"," 0.10494291313","-0.3124041010","-0.121604234","-0.0798273947"," 0.4760291563"," 0.1121522495","-0.1935640835","-0.03447913010"," 0.11616879373"," 0.15368745799"," 1.2418387e-02","normal"
"-2.688499946"," 0.6703777194"," 2.0185942708","-0.769043813","-0.839654332"," 0.281613224","-0.355112175","-0.0639936007"," 0.4471065619"," 0.66810434694","-1.1331855182","-0.0327411734"," 0.0756907202","-0.19496556849"," 0.2916522174","-0.346983253"," 0.3808058270","-0.1520924734"," 0.1150818344","-0.1300927846"," 0.08324222535","-0.11249460392"," 0.01287101128","-1.4030810e-02","normal"
"-1.927547716"," 1.4842688249"," 0.4764068859"," 2.401271793","-0.965884245"," 0.126352250","-0.053068342","-0.3555533404","-0.5157521377"," 0.05239111702"," 0.5110224661","-0.9256260545"," 0.5154622695"," 0.26350080766","-0.0920866268"," 0.912839690","-0.0276258657"," 0.1041027124"," 0.2503055690"," 0.3405590213"," 0.01523931135"," 0.06673495343"," 0.14046686500","-2.3080863e-02","normal"
"-2.918341065"," 1.1623421434"," 0.3863721301"," 0.600450065","-0.331966650","-0.432102472","-0.621711026"," 0.0427088635"," 0.4316723873"," 0.16156048533","-0.5865763704"," 0.1048113765","-0.1311786549","-0.03230390614","-0.1072510520","-0.357270557","-0.2135071372","-0.3804521188","-0.1399787474","-0.1296857603","-0.01061816173"," 0.07522147611","-0.08855334156"," 8.1377147e-03","normal"
"-1.906088987"," 0.1935121215","-0.5621698342","-0.329794375"," 0.536080131"," 0.745198359"," 0.027301316"," 0.2330844697"," 0.4941978485"," 0.56816482266","-0.7531206108"," 0.0430347851"," 0.0023184205"," 0.20841292216"," 0.2634707931","-0.085832170"," 0.0838844874","-0.3860051272","-0.0948147735","-0.0183485924"," 0.15396183729"," 0.00818132027"," 0.03228464652"," 3.5859474e-03","normal"
"-2.512764232"," 1.3005224205","-0.4611122790"," 1.077230213"," 0.096080548","-0.316748743"," 0.166023186"," 0.1572974094"," 0.2175648500","-0.04337697915","-0.0167108321"," 0.3164192829","-0.1850862287"," 0.48707185442","-0.1106323765","-0.513185816"," 0.4007547580"," 0.3505680099","-0.0029920046","-0.2271886240","-0.26135918354"," 0.08215516310"," 0.04812851333"," 1.0165039e-02","normal"
"-3.637016932","-1.7340730492"," 0.1683298927"," 0.203087190"," 1.796336193"," 0.969882890"," 2.798093781","-1.0127797604","-0.3709453807"," 0.33716765432"," 1.2684991405"," 0.3953520460","-0.3874493911","-0.19603662220","-0.2781802272","-0.180151238","-0.3510616861","-0.0975254993"," 0.3243823402","-0.1568439627"," 0.01315414348","-0.11895294637"," 0.16045490672","-1.8311697e-03","normal"
" 0.846211341"," 0.2396410591"," 0.5691348238","-0.012161223"," 1.751557445","-0.523037788","-0.897789403","-0.3954442168"," 1.0466964612"," 0.61078859578"," 0.4744109267"," 0.5726208967"," 0.2049545659","-0.05450735784","-0.6728448400","-0.096086886","-0.1577261227"," 0.1969024906"," 0.2676551788","-0.2013398712"," 0.25533705318"," 0.30055911083"," 0.01619344928","-7.6314271e-03","normal"
"-4.078787264"," 1.1482143054","-0.9351023674"," 1.299307773"," 0.765041190","-0.297564188"," 0.237682029"," 1.2145229192","-0.0366500061","-0.30786498095"," 0.2658801021","-0.1482213115","-0.6168441160"," 0.03316096957","-0.1733822810","-0.026727549"," 0.1441085001","-0.0179188240"," 0.1072364152","-0.2132100050","-0.00304467321"," 0.10492316826","-0.06572240504"," 5.3402189e-03","normal"
"-1.940302518"," 2.9786677441","-0.9185013275"," 0.875294351"," 0.134529916"," 0.042412869","-0.438467856"," 0.0107827657"," 0.3469517706","-0.58103265418","-0.0140988901"," 0.3380931506","-0.0278500919"," 0.33567991204","-0.0086351996","-0.475473864"," 0.1727998349","-0.0563419847"," 0.0477732929"," 0.1023182073","-0.34313325193"," 0.01439732082"," 0.00103933902","-7.8500348e-03","normal"
"-2.002506355"," 2.2800180023","-1.1986358096"," 0.895107592","-0.028788497"," 0.204276176"," 0.563348814","-0.0048678992","-0.3327669568","-0.62209140173"," 0.4600840442"," 0.6137045183","-0.2400361065"," 0.08933184178","-0.2513114776","-0.444571677","-0.5626155423"," 0.1675556905"," 0.2117412896"," 0.1569894669","-0.27117260557"," 0.13467162925","-0.09773551195","-3.7860331e-03","normal"
"-3.268356826"," 0.4853276711"," 0.2729553571"," 0.812168296","-0.609654079","-0.444161100","-0.984405171"," 1.2885822725","-0.2952827060","-0.06433768930","-0.1197512009","-0.0502624985","-0.0273708930","-0.43363367719","-0.4319850593"," 0.372537590","-0.0437407295"," 0.0548542125"," 0.0274842423","-0.2256534252"," 0.04120630261"," 0.09941536507","-0.09605318430","-5.9661175e-03","normal"
"-3.299654915"," 0.1824638891"," 0.3687352440","-0.155611467","-1.596017947"," 0.183316383","-1.092560015","-0.4564424346","-0.1052278643","-0.02128056041","-0.2768831964","-0.1785460794","-0.1122023738","-0.15506083641"," 0.1017420650","-0.419994405","-0.1243524812"," 0.0690442948"," 0.0416984541","-0.0368795843","-0.04716502448"," 0.01916844971","-0.00234588681"," 9.2854065e-04","normal"
"-2.460669059"," 0.9028713045","-0.5063370437"," 1.047700467"," 0.618794930"," 0.167025974"," 0.050732516"," 0.2177464091","-0.1847686910"," 0.04239604605"," 0.5329461304"," 0.1187023684","-0.2014934313"," 0.11710427450"," 0.3948416929"," 0.053412629","-0.0057343966"," 0.1579249775"," 0.0363571174"," 0.0371625236"," 0.09324425287"," 0.20962451719","-0.04810815718","-5.4912790e-03","normal"
"-3.074357497","-2.2836946455","-2.7800227690","-0.408414636","-0.072640141","-0.983843256","-0.341439691"," 0.2067392104","-0.0846983480"," 0.16269658895"," 0.2770303601"," 0.0882606043"," 0.2022428383","-0.20170137063","-0.0447295456"," 0.050318199","-0.0340199350","-0.1772021035","-0.0821113038","-0.2275602911","-0.20310171484","-0.17194201754"," 0.09964069042"," 1.5486284e-03","normal"
"-1.027847304","-1.2556762793"," 0.6789934792","-0.201420733"," 0.341951881"," 0.264042372","-0.324171480"," 0.2371097889","-0.8085427716"," 0.46110761980","-0.0074966520","-0.3966607074","-0.5230408712","-0.33540517512"," 0.6340180290"," 0.769973307"," 0.4623723653"," 0.8273862599"," 0.0152317374","-0.1609951392","-0.47514057525","-0.04706281089"," 0.08660848292"," 1.0081968e-02","normal"
"-4.404144371","-2.3922696863"," 2.3550183763","-2.105352281","-1.999163079"," 0.369392469"," 0.199793443","-0.2979805049","-0.1762489410"," 0.02063635222","-0.1500043775","-0.6741669393"," 0.0221793481","-0.17356487055"," 0.8901195894","-0.405381952"," 0.6251604898","-0.0791823461"," 0.4486763024"," 0.2583026668"," 0.13995891332","-0.00568145999"," 0.08836170952","-1.5244066e-03","normal"
"-2.207112519"," 2.0485810400"," 0.0337199190"," 0.814982948"," 1.836685409"," 1.803618508"," 0.521397957","-0.5430473179"," 0.0457594794"," 0.10654966744"," 0.7473206268"," 0.1436546467"," 0.1500497232","-0.18846761020"," 0.4571847515"," 0.102290827"," 0.0085389346","-0.5059904022"," 0.1892647041"," 0.0429700646"," 0.03482103724"," 0.06117584555"," 0.03655692734"," 9.5550441e-05","normal"
"-3.358356438","-0.0025786427"," 1.9945817448"," 0.185846875","-0.640833775","-0.450837053","-0.023539396"," 0.7571443597","-0.2258982397"," 0.00655020516","-0.1224186146"," 0.1676768241","-0.0122004102"," 0.24366336616","-0.0336040766"," 0.360483841"," 0.1475311764","-0.0961619169"," 0.0415960882","-0.0016757648"," 0.03082051372"," 0.09023347242","-0.11091900242"," 3.5022056e-03","normal"
"-2.190716978","-1.6576772541","-2.3191349563"," 0.524206371"," 0.323433417","-0.012249976"," 0.261819609","-0.0655568100","-0.2051298312","-0.12085460262","-0.3237302139"," 0.1241692490"," 0.3521448250","-0.08619511703","-0.2584600896"," 0.164785626","-0.0926336948"," 0.1369309011"," 0.0396748623","-0.1500556041","-0.12862023860","-0.06002499630","-0.09781873371"," 4.6439777e-03","normal"
"-3.370797688"," 0.4295363703","-0.5201545525"," 1.034509848","-0.453520139","-0.474194032","-0.854065295"," 0.6235125482","-0.3374907641","-0.26114864523","-0.0430207908","-0.3532320376","-0.2999229190","-0.13306811533","-0.6237083529"," 0.186165335"," 0.1370809793"," 0.1019649180","-0.1762639238","-0.3014003832"," 0.12514289969","-0.11940299776","-0.02375828999","-7.9992472e-03","normal"
"-0.884312963","-2.5543342046","-4.7101833494","-2.459416591","-0.408731553"," 0.015386652","-0.584335037","-0.0097757578"," 0.5135999657"," 0.07746267727"," 0.1969897428","-0.1144410601"," 0.4891404258"," 0.54578903123"," 0.0696889257","-0.316955155"," 0.3483445935"," 0.0750128174","-0.1731083401","-0.1535419563","-0.21580008103","-0.10526399507"," 0.20399060469","-1.0555634e-02","normal"
"-3.661329386"," 0.6402045249"," 1.6764508203"," 1.377769323","-1.931616504","-0.462546204","-0.905742741"," 0.4817236125"," 0.0321713318","-0.17523603271","-0.2341140390"," 0.1307654185"," 0.1075022705","-0.12561745552","-0.3161697079","-0.146341964","-0.1091038813"," 0.1208115924","-0.1520590299","-0.1604562006"," 0.08923196176","-0.02480110141"," 0.02947325200"," 9.2844493e-04","normal"
"-2.478210488","-4.9875030582","-3.7101062336","-0.676191703","-1.150007194","-1.445104607"," 1.534691910","-0.6775442218","-0.9034455319","-0.39755369856"," 0.1791802558"," 0.4205895284"," 0.6505755757"," 0.26952634134"," 0.2496938605"," 0.061758359","-0.0749712041","-0.5832873106","-0.1674578912"," 0.2602012398"," 0.11308117627","-0.21085499955","-0.06316849859","-4.8134702e-03","normal"
"-4.047752670","-1.1569028659"," 0.8868258941","-0.532238619","-1.515567370","-0.472214603","-0.090736576"," 0.9187668599"," 0.0796803543"," 0.03650226686"," 0.1599661777","-0.2681284281","-0.1185800454"," 0.25010422670"," 0.0106022652","-0.203384610"," 0.2526140743"," 0.0323282019"," 0.0833693692"," 0.0219178552"," 0.02032457237"," 0.10856094597"," 0.03885741837","-3.1405625e-04","normal"
"-2.592287593"," 1.9321009034","-0.0257701186"," 1.656785078","-0.112744158"," 0.381778039"," 0.058693834"," 0.1167285881","-0.0843726861","-0.46507183357"," 0.5741461821"," 0.3644127956","-0.5131275200"," 0.18410908875"," 0.3294459412"," 0.037851332","-0.0258368078"," 0.4096519483"," 0.0502692288"," 0.3151459183"," 0.18520943214"," 0.14431592643","-0.01471794648","-2.3787205e-03","normal"
